"Métrique","Observé","IC_95_inf","IC_95_sup","Largeur_IC"
"MCC",0.991715785708219,0.956197312062772,1,0.043802687937228
"AUC_ROC",1,1,1,0
"F1_macro",0.994710743801653,0.970776052038666,1,0.0292239479613342
"BSS",0.995452041813413,0.974837551400132,0.999925625410295,0.0250880740101624
