"gene_name","F_statistic","p_value_raw","p_value_bonf","p_value_fdr","significant","rank_anova"
"gene_51",18.2031077771053,0.0000000000000625904344017763,0.00000000110947804020589,0.0000000000000824400386540264,TRUE,13458
"gene_52",7.97751313844941,0.00000312782553227697,0.0554438353851417,0.00000340125362770024,TRUE,16301
"gene_53",21.4777447488512,0.000000000000000261185132127741,0.00000000000462976765209634,0.00000000000000037002618702816,TRUE,12512
"gene_54",21.3936792145434,0.000000000000000300231034237274,0.00000000000532189531288992,0.000000000000000424562849053843,TRUE,12535
"gene_55",74.2607040468875,0.000000000000000000000000000000000000000000000000632459850102904,0.0000000000000000000000000000000000000000000112109833029241,0.0000000000000000000000000000000000000000000000027105859049623,TRUE,4136
"gene_56",19.2593643030984,0.0000000000000105661168622408,0.00000000018729498750008,0.0000000000000142722691076796,TRUE,13123
"gene_57",28.8079630358523,0.00000000000000000000181393849392636,0.0000000000000000321538737433386,0.00000000000000000000301150826480647,TRUE,10677
"gene_58",33.2009207714799,0.00000000000000000000000189129000355083,0.000000000000000000033525006602942,0.00000000000000000000000345868220395564,TRUE,9693
"gene_59",3.27310335003308,0.0115564210269734,1,0.0117871637680033,FALSE,17379
"gene_60",30.5980327456984,0.000000000000000000000108104649709581,0.00000000000000000191626302075204,0.000000000000000000000186570248345053,TRUE,10271
"gene_61",75.7936529454818,0.0000000000000000000000000000000000000000000000000973792024564205,0.00000000000000000000000000000000000000000000172614374274251,0.000000000000000000000000000000000000000000000000431751811591423,TRUE,3998
"gene_62",101.60474934369,0.0000000000000000000000000000000000000000000000000000000000000150189842707158,0.000000000000000000000000000000000000000000000000000000000266226515182709,0.000000000000000000000000000000000000000000000000000000000000106362970508473,TRUE,2503
"gene_63",45.6668236446736,0.0000000000000000000000000000000171385846571876,0.000000000000000000000000000303798551633307,0.0000000000000000000000000000000406147796301212,TRUE,7480
"gene_64",111.065397123974,0.000000000000000000000000000000000000000000000000000000000000000000704808113935524,0.0000000000000000000000000000000000000000000000000000000000000124934286276211,0.00000000000000000000000000000000000000000000000000000000000000000591544916080544,TRUE,2112
"gene_65",20.7824678504779,0.000000000000000828523254046878,0.000000000014686403201235,0.00000000000000115368446199803,TRUE,12730
"gene_66",96.5319824962064,0.00000000000000000000000000000000000000000000000000000000000374726076387641,0.0000000000000000000000000000000000000000000000000000000664239443004732,0.000000000000000000000000000000000000000000000000000000000024211201024602,TRUE,2743
"gene_67",70.0497027302719,0.000000000000000000000000000000000000000000000116433279231903,0.0000000000000000000000000000000000000000020638963076647,0.000000000000000000000000000000000000000000000460691140103729,TRUE,4480
"gene_68",38.2517511695797,0.000000000000000000000000000882273508670991,0.000000000000000000000015639180214702,0.00000000000000000000000000179864062273743,TRUE,8695
"gene_69",44.1804027615064,0.000000000000000000000000000000145222205692722,0.0000000000000000000000000025742088181092,0.00000000000000000000000000000033392253445443,TRUE,7709
"gene_70",37.8889815843113,0.00000000000000000000000000151874750892465,0.0000000000000000000000269213183431983,0.00000000000000000000000000306830617086828,TRUE,8774
"gene_71",38.096115167679,0.00000000000000000000000000111362484439037,0.0000000000000000000000197401139916638,0.0000000000000000000000000022614404847822,TRUE,8729
"gene_72",25.597803255814,0.000000000000000000308396127743076,0.00000000000000546662976037377,0.000000000000000000478270320242674,TRUE,11430
"gene_73",12.5354118955749,0.00000000104832041615138,0.0000185825276966994,0.00000000123267182067658,TRUE,15075
"gene_74",13.2180248198207,0.00000000032002794971371,0.00000567281543662522,0.000000000381160749622067,TRUE,14883
"gene_75",114.987275316768,0.000000000000000000000000000000000000000000000000000000000000000000012736193245182,0.000000000000000000000000000000000000000000000000000000000000000225761761464096,0.000000000000000000000000000000000000000000000000000000000000000000114021091648534,TRUE,1980
"gene_76",46.23564420835,0.00000000000000000000000000000000760236129576479,0.000000000000000000000000000134759456328727,0.0000000000000000000000000000000182501972276174,TRUE,7384
"gene_77",14.3724750483091,0.0000000000434062987151718,0.000000769420051025136,0.000000000052830269913838,TRUE,14564
"gene_78",45.2220480155969,0.0000000000000000000000000000000324213055934451,0.000000000000000000000000000574700062949409,0.0000000000000000000000000000000763112552050735,TRUE,7531
"gene_79",16.5294669907913,0.00000000000107243110561187,0.0000000190099137780761,0.00000000000136242483896481,TRUE,13953
"gene_80",17.5328207763256,0.000000000000194648321353706,0.00000000345033614431579,0.000000000000252568343775404,TRUE,13661
"gene_81",40.9115905162017,0.0000000000000000000000000000170475461414454,0.00000000000000000000000030218480290326,0.0000000000000000000000000000367710882092067,TRUE,8218
"gene_82",96.1818674625777,0.0000000000000000000000000000000000000000000000000000000000055106627764661,0.0000000000000000000000000000000000000000000000000000000976820083756381,0.0000000000000000000000000000000000000000000000000000000000353920320201587,TRUE,2760
"gene_83",156.164070509697,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000237063503147428,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000420218765679132,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000403668362804161,TRUE,1041
"gene_85",27.0349397256668,0.0000000000000000000305566872606035,0.000000000000000541647838381457,0.0000000000000000000488058964120974,TRUE,11098
"gene_86",26.4111409194468,0.0000000000000000000831400518482483,0.00000000000000147374055906205,0.000000000000000000131057408542645,TRUE,11245
"gene_87",131.798854352442,0.00000000000000000000000000000000000000000000000000000000000000000000000000088504991254071,0.0000000000000000000000000000000000000000000000000000000000000000000000156883947496966,0.0000000000000000000000000000000000000000000000000000000000000000000000000104311135303834,TRUE,1504
"gene_88",218.786691446698,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000015267563957996,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000270632838719436,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000509666362936792,TRUE,531
"gene_89",356.726604969019,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000560795961405554,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000994066921187484,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000543205967862013,TRUE,183
"gene_90",36.9457287889769,0.00000000000000000000000000626943138281298,0.000000000000000000000111131940691743,0.0000000000000000000000000124017342586478,TRUE,8961
"gene_91",175.142098489424,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000305500775242345,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000541530674194581,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000654813390803605,TRUE,827
"gene_92",109.214940661573,0.00000000000000000000000000000000000000000000000000000000000000000479412770207424,0.0000000000000000000000000000000000000000000000000000000000000849807076469681,0.000000000000000000000000000000000000000000000000000000000000000038803976094506,TRUE,2190
"gene_93",104.68064910667,0.000000000000000000000000000000000000000000000000000000000000000561718197709533,0.00000000000000000000000000000000000000000000000000000000000995701677259917,0.00000000000000000000000000000000000000000000000000000000000000419773051121382,TRUE,2372
"gene_94",105.077204812695,0.000000000000000000000000000000000000000000000000000000000000000368927380262167,0.00000000000000000000000000000000000000000000000000000000000653960674252718,0.00000000000000000000000000000000000000000000000000000000000000277337011981644,TRUE,2358
"gene_95",64.6027381300674,0.000000000000000000000000000000000000000000117561874738766,0.00000000000000000000000000000000000000208390179161937,0.000000000000000000000000000000000000000000416197681569677,TRUE,5007
"gene_96",7.97929522124844,0.00000311800448923242,0.0552697475761338,0.00000339078205988551,TRUE,16300
"gene_97",28.8247169042861,0.00000000000000000000176643162856933,0.00000000000000003131176704802,0.00000000000000000000293373625485055,TRUE,10673
"gene_98",48.6011552591949,0.0000000000000000000000000000000002662234728339,0.0000000000000000000000000000047190772794537,0.000000000000000000000000000000000671946074249424,TRUE,7023
"gene_99",59.1222365397413,0.000000000000000000000000000000000000000152057623391631,0.00000000000000000000000000000000000269537343224005,0.000000000000000000000000000000000000000479177499064899,TRUE,5625
"gene_100",30.0663943072556,0.000000000000000000000248994332694679,0.00000000000000000441367354134588,0.000000000000000000000424350883698287,TRUE,10401
"gene_101",27.6331723423009,0.0000000000000000000117431176442703,0.000000000000000208158503362336,0.0000000000000000000190099089828617,TRUE,10950
"gene_102",32.5331819859834,0.00000000000000000000000530702555648758,0.0000000000000000000940723350142989,0.0000000000000000000000095601966477946,TRUE,9840
"gene_103",16.1212506290534,0.00000000000215323330490747,0.0000000381682135627898,0.00000000000271640549162265,TRUE,14051
"gene_104",24.4290215767791,0.00000000000000000205210699752896,0.0000000000000363756486381983,0.00000000000000000310213616222056,TRUE,11726
"gene_105",93.7547280278746,0.0000000000000000000000000000000000000000000000000000000000812369641399423,0.00000000000000000000000000000000000000000000000000000144000642634462,0.000000000000000000000000000000000000000000000000000000000502094290915138,TRUE,2868
"gene_106",47.5302613062395,0.00000000000000000000000000000000120725270583489,0.0000000000000000000000000000213997614636293,0.00000000000000000000000000000000297797960807533,TRUE,7186
"gene_107",48.8688211830295,0.000000000000000000000000000000000182714888603208,0.00000000000000000000000000000323880411538046,0.000000000000000000000000000000000463746293725724,TRUE,6984
"gene_109",62.4590631863114,0.00000000000000000000000000000000000000000189015910030035,0.000000000000000000000000000000000000033504960211924,0.00000000000000000000000000000000000000000638798097462802,TRUE,5245
"gene_110",54.0074617115078,0.000000000000000000000000000000000000148327754663017,0.00000000000000000000000000000000262925777915664,0.000000000000000000000000000000000000420143461034939,TRUE,6258
"gene_111",22.8179485385118,0.0000000000000000286068579054352,0.000000000000507085163231744,0.0000000000000000417388396766602,TRUE,12149
"gene_112",10.6984080771636,0.0000000259928730428969,0.000460749667558391,0.0000000295845426710152,TRUE,15574
"gene_113",8.71630615574237,0.000000849604279172746,0.0150600854526161,0.000000935292848876915,TRUE,16102
"gene_114",33.9863032267393,0.000000000000000000000000565002997429964,0.0000000000000000000100152431324435,0.0000000000000000000000010491559954372,TRUE,9546
"gene_115",27.4066224431409,0.0000000000000000000168610928598551,0.000000000000000298879732033792,0.0000000000000000000271585399394631,TRUE,11005
"gene_116",34.2104888393269,0.000000000000000000000000400621608749405,0.00000000000000000000710141863669195,0.000000000000000000000000747045932746891,TRUE,9506
"gene_117",60.5998238008355,0.0000000000000000000000000000000000000000215762840259735,0.000000000000000000000000000000000000382461210644407,0.000000000000000000000000000000000000000070215019394971,TRUE,5447
"gene_118",54.0842137321962,0.000000000000000000000000000000000000133578543605384,0.00000000000000000000000000000000236781326394903,0.00000000000000000000000000000000000037909274158646,TRUE,6246
