"gene_name","MI_score","p_value","p_adj_bonf","p_adj_fdr","significant","rank_mi"
"gene_437",0.350521023927864,0.005,1,0.00516311313060701,TRUE,6586
"gene_438",0.538048039377432,0.005,1,0.00516311313060701,TRUE,2149
"gene_439",0.631071116098018,0.005,1,0.00516311313060701,TRUE,1074
"gene_440",0.866897358228113,0.005,1,0.00516311313060701,TRUE,142
"gene_441",0.38469087924131,0.005,1,0.00516311313060701,TRUE,5524
"gene_442",0.26003755862742,0.005,1,0.00516311313060701,TRUE,10251
"gene_443",0.138133924814938,0.005,1,0.00516311313060701,TRUE,15852
"gene_444",0.352447425453303,0.005,1,0.00516311313060701,TRUE,6522
"gene_446",0.368506907135447,0.005,1,0.00516311313060701,TRUE,6025
"gene_447",0.4073026403876,0.005,1,0.00516311313060701,TRUE,4823
"gene_448",0.187624394949364,0.005,1,0.00516311313060701,TRUE,13667
"gene_449",0.610029890841473,0.005,1,0.00516311313060701,TRUE,1279
"gene_451",0.445473526086647,0.005,1,0.00516311313060701,TRUE,3841
"gene_452",0.424593073852253,0.005,1,0.00516311313060701,TRUE,4370
"gene_453",0.246528045780702,0.005,1,0.00516311313060701,TRUE,10830
"gene_454",0.435795707653881,0.005,1,0.00516311313060701,TRUE,4074
"gene_455",0.355405599718298,0.005,1,0.00516311313060701,TRUE,6425
"gene_456",0.205075118118555,0.005,1,0.00516311313060701,TRUE,12825
"gene_457",0.228263165549011,0.005,1,0.00516311313060701,TRUE,11715
"gene_458",0.216118808047599,0.005,1,0.00516311313060701,TRUE,12312
"gene_459",0.331622150571982,0.005,1,0.00516311313060701,TRUE,7279
"gene_460",0.146854100086106,0.005,1,0.00516311313060701,TRUE,15475
"gene_461",0.441138851764035,0.005,1,0.00516311313060701,TRUE,3945
"gene_462",0.476065600666136,0.005,1,0.00516311313060701,TRUE,3219
"gene_463",0.133295893279931,0.005,1,0.00516311313060701,TRUE,16038
"gene_466",0.418976996672756,0.005,1,0.00516311313060701,TRUE,4506
"gene_467",0.211668210457647,0.005,1,0.00516311313060701,TRUE,12508
"gene_468",0.493517426492875,0.005,1,0.00516311313060701,TRUE,2871
"gene_469",0.421666430851724,0.005,1,0.00516311313060701,TRUE,4434
"gene_470",0.258959272362423,0.005,1,0.00516311313060701,TRUE,10298
"gene_471",0.424239503913292,0.005,1,0.00516311313060701,TRUE,4383
"gene_472",0.414133002407863,0.005,1,0.00516311313060701,TRUE,4633
"gene_473",0.472940453336661,0.005,1,0.00516311313060701,TRUE,3277
"gene_474",0.521761527942129,0.005,1,0.00516311313060701,TRUE,2394
"gene_475",0.367115054253543,0.005,1,0.00516311313060701,TRUE,6066
"gene_476",0.282342089841821,0.005,1,0.00516311313060701,TRUE,9304
"gene_477",0.20192179839635,0.005,1,0.00516311313060701,TRUE,12997
"gene_478",0.349811511762865,0.005,1,0.00516311313060701,TRUE,6606
"gene_480",0.274994260638234,0.005,1,0.00516311313060701,TRUE,9620
"gene_482",0.515522374401744,0.005,1,0.00516311313060701,TRUE,2499
"gene_483",0.369548549584299,0.005,1,0.00516311313060701,TRUE,5988
"gene_484",0.248836938117956,0.005,1,0.00516311313060701,TRUE,10731
"gene_485",0.469826939006899,0.005,1,0.00516311313060701,TRUE,3331
"gene_486",0.347402720458298,0.005,1,0.00516311313060701,TRUE,6703
"gene_487",0.741851927479906,0.005,1,0.00516311313060701,TRUE,445
"gene_488",0.265709776566097,0.005,1,0.00516311313060701,TRUE,10015
"gene_489",0.186180107620516,0.005,1,0.00516311313060701,TRUE,13736
"gene_490",0.140169936769742,0.005,1,0.00516311313060701,TRUE,15758
"gene_491",0.461535984179983,0.005,1,0.00516311313060701,TRUE,3496
"gene_492",0.154181719690476,0.005,1,0.00516311313060701,TRUE,15178
"gene_494",0.569844404054999,0.005,1,0.00516311313060701,TRUE,1723
"gene_495",0.324387656021806,0.005,1,0.00516311313060701,TRUE,7567
"gene_496",0.159624642107878,0.005,1,0.00516311313060701,TRUE,14944
"gene_498",0.205977684092253,0.005,1,0.00516311313060701,TRUE,12771
"gene_499",0.45061554841701,0.005,1,0.00516311313060701,TRUE,3719
"gene_500",0.4098258299142,0.005,1,0.00516311313060701,TRUE,4737
"gene_501",0.150163398152339,0.005,1,0.00516311313060701,TRUE,15347
"gene_502",0.295137080052869,0.005,1,0.00516311313060701,TRUE,8759
"gene_503",0.315477210125116,0.005,1,0.00516311313060701,TRUE,7899
"gene_504",0.116341770669792,0.005,1,0.00516311313060701,TRUE,16632
"gene_505",0.197239284866858,0.005,1,0.00516311313060701,TRUE,13221
"gene_506",0.27741617527851,0.005,1,0.00516311313060701,TRUE,9509
"gene_507",0.281451499833525,0.005,1,0.00516311313060701,TRUE,9344
"gene_508",0.189690429741657,0.005,1,0.00516311313060701,TRUE,13576
"gene_509",0.188200744054321,0.005,1,0.00516311313060701,TRUE,13641
"gene_510",0.314700142508443,0.005,1,0.00516311313060701,TRUE,7931
"gene_511",0.380608644590345,0.005,1,0.00516311313060701,TRUE,5646
"gene_512",0.648014373878336,0.005,1,0.00516311313060701,TRUE,937
"gene_513",0.449429705668812,0.005,1,0.00516311313060701,TRUE,3742
"gene_514",0.382676268361394,0.005,1,0.00516311313060701,TRUE,5581
"gene_515",0.721468742974107,0.005,1,0.00516311313060701,TRUE,537
"gene_518",0.0973245023826204,0.005,1,0.00516311313060701,TRUE,17151
"gene_519",0.19623595685516,0.005,1,0.00516311313060701,TRUE,13273
"gene_520",0.211038738608598,0.005,1,0.00516311313060701,TRUE,12536
"gene_521",0.481066878863846,0.005,1,0.00516311313060701,TRUE,3122
"gene_522",0.396499062092175,0.005,1,0.00516311313060701,TRUE,5150
"gene_523",0.179076314549738,0.005,1,0.00516311313060701,TRUE,14089
"gene_524",0.452629047991032,0.005,1,0.00516311313060701,TRUE,3671
"gene_525",0.278696010274002,0.005,1,0.00516311313060701,TRUE,9457
"gene_526",0.59009125490276,0.005,1,0.00516311313060701,TRUE,1493
"gene_527",0.279516401490453,0.005,1,0.00516311313060701,TRUE,9421
"gene_528",0.123301589723591,0.005,1,0.00516311313060701,TRUE,16413
"gene_529",0.518424530075016,0.005,1,0.00516311313060701,TRUE,2454
"gene_530",0.353768797369231,0.005,1,0.00516311313060701,TRUE,6481
"gene_531",0.326952307192855,0.005,1,0.00516311313060701,TRUE,7467
"gene_532",0.497534872308577,0.005,1,0.00516311313060701,TRUE,2798
"gene_533",0.169293960871958,0.005,1,0.00516311313060701,TRUE,14501
"gene_534",0.342954810454567,0.005,1,0.00516311313060701,TRUE,6869
"gene_535",0.700852169989944,0.005,1,0.00516311313060701,TRUE,628
"gene_536",0.487526276945387,0.005,1,0.00516311313060701,TRUE,2983
"gene_537",0.622979083891533,0.005,1,0.00516311313060701,TRUE,1150
"gene_538",0.395516795174697,0.005,1,0.00516311313060701,TRUE,5188
"gene_539",0.623303493648383,0.005,1,0.00516311313060701,TRUE,1147
"gene_540",0.332601431428721,0.005,1,0.00516311313060701,TRUE,7247
"gene_541",0.425592867951968,0.005,1,0.00516311313060701,TRUE,4339
"gene_542",0.681554537518063,0.005,1,0.00516311313060701,TRUE,730
"gene_543",0.335571164139175,0.005,1,0.00516311313060701,TRUE,7146
"gene_544",0.909144229621779,0.005,1,0.00516311313060701,TRUE,91
"gene_545",0.913306594362007,0.005,1,0.00516311313060701,TRUE,84
"gene_546",0.408924250794211,0.005,1,0.00516311313060701,TRUE,4759
"gene_547",0.217611807383555,0.005,1,0.00516311313060701,TRUE,12256
"gene_548",0.365315920366776,0.005,1,0.00516311313060701,TRUE,6129
"gene_549",0.365650971383021,0.005,1,0.00516311313060701,TRUE,6119
"gene_550",0.565195163313572,0.005,1,0.00516311313060701,TRUE,1794
"gene_551",0.333841290990827,0.005,1,0.00516311313060701,TRUE,7204
"gene_552",0.361928724710872,0.005,1,0.00516311313060701,TRUE,6220
"gene_553",0.718523472594312,0.005,1,0.00516311313060701,TRUE,554
"gene_554",0.597301779292778,0.005,1,0.00516311313060701,TRUE,1417
"gene_555",0.221000195330483,0.005,1,0.00516311313060701,TRUE,12063
"gene_556",0.085226560707846,0.03,1,0.0304169764914488,TRUE,17411
"gene_557",0.160366602857795,0.005,1,0.00516311313060701,TRUE,14902
"gene_558",0.288894543757858,0.005,1,0.00516311313060701,TRUE,9011
"gene_559",0.144917637088961,0.005,1,0.00516311313060701,TRUE,15563
"gene_560",0.133405792408532,0.005,1,0.00516311313060701,TRUE,16032
"gene_562",0.549006036487434,0.005,1,0.00516311313060701,TRUE,1987
"gene_563",0.169023383936559,0.005,1,0.00516311313060701,TRUE,14520
"gene_564",0.222868064419939,0.005,1,0.00516311313060701,TRUE,11966
"gene_565",0.299809925858169,0.005,1,0.00516311313060701,TRUE,8554
"gene_566",0.183010974133977,0.005,1,0.00516311313060701,TRUE,13904
"gene_567",0.191298935629104,0.005,1,0.00516311313060701,TRUE,13503
"gene_568",0.236561364011622,0.005,1,0.00516311313060701,TRUE,11328
"gene_569",0.251467788211701,0.005,1,0.00516311313060701,TRUE,10623
"gene_570",0.142893643119534,0.005,1,0.00516311313060701,TRUE,15645
"gene_571",0.159150363797839,0.005,1,0.00516311313060701,TRUE,14963
"gene_572",0.229199728377758,0.005,1,0.00516311313060701,TRUE,11665
"gene_573",0.115562299064127,0.005,1,0.00516311313060701,TRUE,16654
"gene_574",0.482692090986124,0.005,1,0.00516311313060701,TRUE,3077
"gene_575",0.13152565203434,0.005,1,0.00516311313060701,TRUE,16106
"gene_576",0.32787447824521,0.005,1,0.00516311313060701,TRUE,7412
"gene_577",0.168080104161874,0.005,1,0.00516311313060701,TRUE,14555
"gene_578",0.180771085467931,0.005,1,0.00516311313060701,TRUE,14022
"gene_580",0.310274723842856,0.005,1,0.00516311313060701,TRUE,8117
"gene_581",0.30541637758978,0.005,1,0.00516311313060701,TRUE,8317
"gene_582",0.299659184016669,0.005,1,0.00516311313060701,TRUE,8564
"gene_583",0.21399635853609,0.005,1,0.00516311313060701,TRUE,12410
"gene_584",0.242627498395585,0.005,1,0.00516311313060701,TRUE,11037
"gene_585",0.49666291077204,0.005,1,0.00516311313060701,TRUE,2815
"gene_586",0.3475936758836,0.005,1,0.00516311313060701,TRUE,6693
"gene_587",0.41430998065844,0.005,1,0.00516311313060701,TRUE,4628
"gene_588",0.23544473219714,0.005,1,0.00516311313060701,TRUE,11369
"gene_589",0.339294346994426,0.005,1,0.00516311313060701,TRUE,7001
"gene_591",0.316164638904664,0.005,1,0.00516311313060701,TRUE,7868
